iter	Passed	Remaining
470	686	771
471	687	769
472	688	767
473	689	765
474	691	763
475	692	761
476	693	759
477	694	757
478	695	756
479	696	754
480	697	752
481	698	750
482	699	748
483	700	746
484	701	744
485	702	742
486	703	741
487	704	739
488	705	737
489	706	735
490	707	733
491	708	731
492	710	730
493	711	728
494	712	726
495	713	724
496	714	722
497	715	721
498	716	719
499	717	717
500	718	715
501	719	713
502	720	712
503	721	710
504	722	708
505	723	706
506	724	704
507	725	703
508	727	701
509	728	699
510	729	697
511	730	695
512	731	694
513	732	692
514	733	690
515	734	689
516	735	687
517	736	685
518	737	683
519	738	681
520	739	680
521	740	678
522	741	676
523	742	674
524	743	673
525	744	671
526	745	669
527	747	667
528	748	666
529	749	664
530	750	662
531	751	661
532	752	659
533	753	657
534	754	655
535	755	654
536	756	652
537	757	650
538	759	649
539	760	647
540	761	645
541	762	644
542	763	642
543	764	640
544	765	639
545	766	637
546	768	636
547	769	634
548	770	632
549	771	631
550	772	629
551	774	628
552	775	627
553	777	625
554	778	623
555	779	622
556	780	620
557	781	618
558	782	617
559	783	615
560	784	613
561	785	612
562	786	610
563	787	608
564	788	607
565	789	605
566	790	603
567	791	602
568	793	600
569	794	599
570	795	597
571	796	596
572	797	594
573	798	592
574	799	591
575	800	589
576	801	587
577	802	586
578	803	584
579	805	582
580	806	581
581	807	579
582	808	577
583	809	576
584	810	574
585	811	573
586	812	571
587	813	569
588	814	568
589	815	566
590	816	565
591	817	563
592	818	561
593	819	560
594	820	558
595	821	557
596	822	555
597	823	553
598	825	552
599	826	550
600	827	549
601	828	547
602	829	545
603	830	544
604	831	542
605	832	541
606	833	539
607	834	537
608	835	536
609	836	534
610	837	533
611	838	531
612	839	530
613	840	528
614	841	526
615	842	525
616	843	523
617	844	522
618	846	520
619	847	519
620	848	517
621	849	516
622	850	514
623	851	513
624	852	511
625	853	510
626	854	508
627	855	507
628	856	505
629	857	503
630	858	502
631	859	500
632	860	499
633	862	497
634	863	496
635	864	494
636	865	493
637	866	491
638	867	490
639	868	488
640	869	487
641	870	485
642	871	484
643	872	482
644	873	481
645	874	479
646	875	477
647	877	476
648	878	474
649	879	473
650	880	471
651	881	470
652	882	468
653	883	467
654	884	465
655	885	464
656	886	463
657	887	461
658	889	460
659	890	458
660	891	457
661	892	455
662	893	454
663	894	452
664	895	451
665	896	449
666	897	448
667	898	446
668	899	445
669	900	443
670	901	442
671	903	440
672	904	439
673	905	437
674	906	436
675	907	434
676	908	433
677	909	431
678	910	430
679	911	428
680	912	427
681	913	426
682	914	424
683	915	423
684	916	421
685	917	420
686	918	418
687	919	417
688	920	415
689	921	414
690	923	412
691	924	411
692	925	409
693	926	408
694	927	406
695	928	405
696	929	404
697	930	402
698	931	401
699	932	399
700	933	398
701	934	396
702	935	395
703	937	394
704	938	392
705	939	391
706	940	389
707	941	388
708	942	386
709	943	385
710	944	383
711	945	382
712	946	380
713	947	379
714	948	378
715	949	376
716	950	375
717	951	373
718	952	372
719	953	370
720	954	369
721	955	368
722	956	366
723	957	365
724	958	363
725	959	362
726	961	360
727	962	359
728	963	358
729	964	356
730	965	355
731	966	353
732	967	352
733	968	350
734	969	349
735	970	348
736	971	346
737	972	345
738	973	343
739	974	342
740	975	341
741	976	339
742	977	338
743	978	336
744	979	335
745	981	334
746	982	332
747	983	331
748	984	329
749	985	328
750	986	327
751	987	325
752	988	324
753	989	322
754	990	321
755	991	319
756	992	318
757	993	317
758	994	315
759	995	314
760	996	313
761	997	311
762	998	310
763	999	308
764	1000	307
765	1002	306
766	1003	304
767	1004	303
768	1005	301
769	1006	300
770	1007	299
771	1008	297
772	1009	296
773	1010	295
774	1011	293
775	1012	292
776	1013	290
777	1014	289
778	1015	288
779	1017	286
780	1018	285
781	1020	284
782	1021	283
783	1022	281
784	1023	280
785	1024	278
786	1025	277
787	1026	276
788	1027	274
789	1028	273
790	1029	272
791	1030	270
792	1031	269
793	1032	268
794	1034	266
795	1035	265
796	1036	263
797	1037	262
798	1038	261
799	1039	259
800	1040	258
801	1041	257
802	1042	255
803	1043	254
804	1044	252
805	1045	251
806	1046	250
807	1047	248
808	1048	247
809	1049	246
810	1050	244
811	1051	243
812	1052	242
813	1053	240
814	1055	239
815	1056	238
816	1057	236
817	1058	235
818	1059	234
819	1060	232
820	1061	231
821	1062	230
822	1063	228
823	1064	227
824	1065	226
825	1066	224
826	1067	223
827	1068	222
828	1069	220
829	1070	219
830	1071	217
831	1073	216
832	1074	215
833	1075	214
834	1076	212
835	1077	211
836	1078	209
837	1079	208
838	1080	207
839	1081	205
840	1082	204
841	1083	203
842	1084	202
843	1085	200
844	1086	199
845	1088	198
846	1088	196
847	1090	195
848	1091	194
849	1092	192
850	1093	191
851	1094	190
852	1095	188
853	1096	187
854	1097	186
855	1098	184
856	1099	183
857	1100	182
858	1101	180
859	1102	179
860	1103	178
861	1104	176
862	1105	175
863	1106	174
864	1107	172
865	1108	171
866	1109	170
867	1110	168
868	1111	167
869	1112	166
870	1113	164
871	1115	163
872	1116	162
873	1117	161
874	1118	159
875	1119	158
876	1120	157
877	1121	155
878	1122	154
879	1123	153
880	1124	151
881	1125	150
882	1126	149
883	1127	147
884	1128	146
885	1129	145
886	1130	144
887	1131	142
888	1132	141
889	1133	140
890	1134	138
891	1135	137
892	1136	136
893	1137	134
894	1138	133
895	1139	132
896	1140	130
897	1141	129
898	1142	128
899	1143	127
900	1145	125
901	1146	124
902	1147	123
903	1148	121
904	1149	120
905	1150	119
906	1151	118
907	1152	116
908	1153	115
909	1154	114
910	1155	112
911	1156	111
912	1157	110
913	1158	109
914	1159	107
915	1160	106
916	1161	105
917	1162	103
918	1163	102
919	1164	101
920	1165	99
921	1166	98
922	1167	97
923	1168	96
924	1169	94
925	1170	93
926	1172	92
927	1173	91
928	1174	89
929	1175	88
930	1176	87
931	1177	85
932	1178	84
933	1179	83
934	1180	82
935	1181	80
936	1182	79
937	1183	78
938	1184	76
939	1185	75
940	1186	74
941	1188	73
942	1189	71
943	1190	70
944	1191	69
945	1192	68
946	1193	66
947	1194	65
948	1195	64
949	1196	62
950	1197	61
951	1198	60
952	1199	59
953	1200	57
954	1201	56
955	1202	55
956	1203	54
957	1204	52
958	1205	51
959	1206	50
960	1207	49
961	1208	47
962	1209	46
963	1210	45
964	1211	43
965	1212	42
966	1215	41
967	1216	40
968	1217	38
969	1218	37
970	1219	36
971	1220	35
972	1221	33
973	1222	32
974	1223	31
975	1224	30
976	1225	28
977	1226	27
978	1227	26
979	1228	25
980	1229	23
981	1230	22
982	1231	21
983	1232	20
984	1233	18
985	1234	17
986	1235	16
987	1236	15
988	1237	13
989	1238	12
990	1239	11
991	1240	10
992	1241	8
993	1242	7
994	1243	6
995	1244	4
996	1245	3
997	1246	2
998	1248	1
999	1249	0
